move_id,slug,name,style,from_position,best_score,video_url,video_title,content_type
00000000-0000-0000-0002-000000000041,2-on-1-arm-drag,2-on-1 Arm Drag,folkstyle,2-on-1,1.00,https://www.youtube.com/watch?v=_h258-ed-no,Armdrags & Chops,technique
00000000-0000-0000-0002-000000000111,2-on-1-back-attack,2-on-1 Back Attack,folkstyle,back-control-top,0.00,,,
00000000-0000-0000-0002-000000000038,2-on-1-duck-under,2-on-1 Duck Under,folkstyle,2-on-1,1.00,https://www.youtube.com/watch?v=cVjTySx1uZ4,2 on 1 Duck Under,technique
00000000-0000-0000-0002-000000000018,2-on-1-entry,2-on-1 Entry,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=ytGfsnQmGgM,2 on 1,technique
00000000-0000-0000-0002-000000000039,2-on-1-high-dive,2-on-1 High Dive,folkstyle,2-on-1,1.00,https://www.youtube.com/watch?v=O66IwqnOByE,2 on 1 Hi Dive,technique
00000000-0000-0000-0002-000000000040,2-on-1-single,2-on-1 to Single Leg,folkstyle,2-on-1,1.00,https://www.youtube.com/watch?v=wGwm0qVbu4M,Snatch Single,technique
00000000-0000-0000-0002-000000000006,ankle-pick,Ankle Pick,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=0bkIMmQf7TE,Snap Down to a Front Headlock,technique
00000000-0000-0000-0002-000000000093,ankle-rides,Ankle Rides,folkstyle,referees-top,1.00,https://www.youtube.com/watch?v=FwA9qL-q8z8,Ankle Rides,technique
00000000-0000-0000-0002-000000000009,arm-spin,Arm Spin,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=iiXrSGwfJys,Arm Spin,technique
00000000-0000-0000-0002-000000000049,arm-throw,Arm Throw,folkstyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=iiXrSGwfJys,Arm Spin,technique
00000000-0000-0000-0002-000000000104,back-exposure-turtle,Back Exposure from Turtle,folkstyle,turtle,0.00,,,
00000000-0000-0000-0002-000000000108,back-standing-escape,Back Control Standing — Opponent Escapes,folkstyle,back-control-standing,0.00,,,
00000000-0000-0000-0002-000000000106,back-standing-mat-return,Back Control Standing — Mat Return,folkstyle,back-control-standing,0.00,,,
00000000-0000-0000-0002-000000000107,back-standing-seatbelt,Back Control Standing — Seatbelt to Mat,folkstyle,back-control-standing,0.00,,,
00000000-0000-0000-0002-000000000004,blast-double,Blast Double,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=4A2OiHUSbsA,Blast Double,technique
00000000-0000-0000-0002-000000000045,bodylock-takedown,Bodylock Takedown,folkstyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=-0MbKdOH12s,Finishes Covering Hips,technique
00000000-0000-0000-0002-000000000094,claw-ride-legs,Claw Ride to Legs,folkstyle,referees-top,1.00,https://www.youtube.com/watch?v=Zzt9FQMCyNM,Referee's Top Position - Claw Ride to Legs,technique
00000000-0000-0000-0002-000000000020,collar-tie-double,Collar Tie — Level Change Double,folkstyle,collar-tie,1.00,https://www.youtube.com/watch?v=8FyeXO4rviw,Double Leg,technique
00000000-0000-0000-0002-000000000015,collar-tie-entry,Collar Tie Entry,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=4K4mCrXYoKw,Handfighting to Control Tie,technique
00000000-0000-0000-0002-000000000022,collar-tie-shrug,Collar Tie — Shrug to Underhook,folkstyle,collar-tie,0.00,,,
00000000-0000-0000-0002-000000000021,collar-tie-single,Collar Tie — Level Change Single,folkstyle,collar-tie,1.00,https://www.youtube.com/watch?v=0BPnLWYBY1I,Single Leg,technique
